original_title,popularity,vote_average,vote_count,log_budget,log_revenue,everything,id,genre
Superman Returns,57.925623,5.4,1400,19.413932520666354,19.784425751123838,"superman returns to discover his 5year absence has allowed lex luthor to walk free and that those he was closest too felt abandoned and have moved on luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever as well as ridding himself of the man of steel Adventure,Fantasy,Action,Science Fiction saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor DC Comics, Legendary Pictures, Warner Bros., Bad Hat Harry Productions United States of America English, Français, Deutsch",1452,"Adventure,Fantasy,Action,Science Fiction"
Quantum of Solace,107.928811,6.1,2965,19.11382792951231,20.188985161495555,"quantum of solace continues the adventures of james bond after casino royale betrayed by vesper the woman he loved 007 fights the urge to make his latest mission personal pursuing his determination to uncover the truth bond and m interrogate mr white who reveals that the organization that blackmailed vesper is far more complex and dangerous than anyone had imagined Adventure,Action,Thriller,Crime killing undercover secret agent british secret service Eon Productions United Kingdom, United States of America English, Español, Italiano, Français, Deutsch",10764,"Adventure,Action,Thriller,Crime"
Pirates of the Caribbean: Dead Man's Chest,145.847379,7.0,5246,19.11382792951231,20.78685998699344,"captain jack sparrow works his way out of a blood debt with the ghostly davey jones he also attempts to avoid eternal damnation Adventure,Fantasy,Action witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions Jamaica, United States of America, Bahamas, Dominica English, Türkçe, ελληνικά, 普通话",58,"Adventure,Fantasy,Action"
The Lone Ranger,49.046956,5.9,2311,19.35677410704427,18.307399060740746,"the texas rangers chase down a gang of outlaws led by butch cavendish but the gang ambushes the rangers seemingly killing them all one survivor is found however by an american indian named tonto who nurses him back to health the ranger donning a mask and riding a white stallion named silver teams up with tonto to bring the unscrupulous gang and others of that ilk to justice Action,Adventure,Western texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil, Silver Bullet Productions (II), Blind Wink Productions, Classic Media United States of America English",57201,"Action,Adventure,Western"
Man of Steel,99.398009,6.5,6359,19.23161096461314,20.312052517984124,"a young boy learns that he has extraordinary powers and is not of this earth as a young man he journeys to discover where he came from and what he was sent here to do but the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind Action,Adventure,Fantasy,Science Fiction saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe Legendary Pictures, Warner Bros., DC Entertainment, Syncopy, Cruel and Unusual Films United Kingdom, United States of America English",49521,"Action,Adventure,Fantasy,Science Fiction"
The Chronicles of Narnia: Prince Caspian,53.978602,6.3,1630,19.23161096461314,19.854934957961998,"one year after their incredible adventures in the lion the witch and the wardrobe peter edmund lucy and susan pevensie return to narnia to aid a young prince whose life has been threatened by the evil king miraz now with the help of a colorful cast of new characters including trufflehunter the badger and nikabrik the dwarf the pevensie clan embarks on an incredible quest to ensure that narnia is returned to its rightful heir Adventure,Family,Fantasy based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world Walt Disney, Walden Media, Stillking Films, Ozumi Films, Propeler, Silverbell Films, Revolution Sun Studios Czech Republic, Poland, Slovenia, United States of America English",2454,"Adventure,Family,Fantasy"
The Avengers,144.448633,7.4,11776,19.20913810886209,21.14168528147379,"when an unexpected enemy emerges and threatens global safety and security nick fury director of the international peacekeeping agency known as shield finds himself in need of a team to pull the world back from the brink of disaster spanning the globe a daring recruitment effort begins Science Fiction,Action,Adventure new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe Paramount Pictures, Marvel Studios United States of America English",24428,"Science Fiction,Action,Adventure"
Pirates of the Caribbean: On Stranger Tides,135.413856,6.4,4948,19.755681813316283,20.76796555425219,"captain jack sparrow crosses paths with a woman from his past and hes not sure if its love or if shes a ruthless con artist whos using him to find the fabled fountain of youth when she forces him aboard the queen annes revenge the ship of the formidable pirate blackbeard jack finds himself on an unexpected adventure in which he doesnt know who to fear more blackbeard or the woman from his past Adventure,Action,Fantasy sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d Walt Disney Pictures, Jerry Bruckheimer Films, Moving Picture Company (MPC) United States of America English, Español",1865,"Adventure,Action,Fantasy"
Men in Black 3,52.035179,6.2,4160,19.23161096461314,20.25170383727199,"agents j will smith and k tommy lee jones are backin time j has seen some inexplicable things in his 15 years with the men in black but nothing not even aliens perplexes him as much as his wry reticent partner but when ks life and the fate of the planet are put at stake agent j will have to travel back in time to put things right j discovers that there are secrets to the universe that k never told him secrets that will reveal themselves as he teams up with the young agent k josh brolin to save his partner the agency and the future of humankind Action,Comedy,Science Fiction time travel time machine alien fictional government agency seeing the future changing history Amblin Entertainment, Media Magik Entertainment, Imagenation Abu Dhabi FZ, Hemisphere Media Capital, Parkes/MacDonald Productions United States of America English",41154,"Action,Comedy,Science Fiction"
The Hobbit: The Battle of the Five Armies,120.965743,7.1,4760,19.33697147982652,20.678289170592233,"immediately after the events of the desolation of smaug bilbo and the dwarves try to defend erebors mountain of treasure from others who claim it the men of the ruined laketown and the elves of mirkwood meanwhile an army of orcs led by azog the defiler is marching on erebor fueled by the rise of the dark lord sauron dwarves elves and men must unite and the hope for middleearth falls into bilbos hands Action,Adventure,Fantasy corruption elves dwarves orcs middleearth tolkien hobbit dragon battle unlikely friendship epic battle sword and sorcery WingNut Films, New Line Cinema, Warner Bros. Pictures, 3Foot7, Metro-Goldwyn-Mayer (MGM) New Zealand, United States of America English",122917,"Action,Adventure,Fantasy"
The Amazing Spider-Man,89.866276,6.5,6586,19.186148590743098,20.438533885937286,"peter parker is an outcast high schooler abandoned by his parents as a boy leaving him to be raised by his uncle ben and aunt may like most teenagers peter is trying to figure out who he is and how he got to be the person he is today as peter discovers a mysterious briefcase that belonged to his father he begins a quest to understand his parents disappearance leading him directly to oscorp and the lab of dr curt connors his fathers former partner as spiderman is set on a collision course with connors alter ego the lizard peter will make lifealtering choices to use his powers and shape his destiny to become a hero Action,Adventure,Fantasy loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger Columbia Pictures, Laura Ziskin Productions, Marvel Entertainment United States of America English",1930,"Action,Adventure,Fantasy"
Robin Hood,37.668301,6.2,1398,19.11382792951231,19.554240336084877,"when soldier robin happens upon the dying robert of loxley he promises to return the mans sword to his family in nottingham there he assumes roberts identity romances his widow marion and draws the ire of the towns sheriff and king johns henchman godfrey Action,Adventure robin hood archer knight sherwood forest bow and arrow middle ages medieval king of england Imagine Entertainment, Universal Pictures, Scott Free Productions, Relativity Media United Kingdom, United States of America English, ภาษาไทย",20662,"Action,Adventure"
The Hobbit: The Desolation of Smaug,94.370564,7.6,4524,19.33697147982652,20.680775786368866,"the dwarves bilbo and gandalf have successfully escaped the misty mountains and bilbo has gained the one ring they all continue their journey to get their gold back from the dragon smaug Adventure,Fantasy elves dwarves orcs hobbit dragon wizard sword and sorcery WingNut Films, New Line Cinema, Warner Bros. Pictures, Metro-Goldwyn-Mayer (MGM) New Zealand, United States of America English",57158,"Adventure,Fantasy"
The Golden Compass,42.990906,5.8,1303,19.00846741441004,19.73503557054199,"after overhearing a shocking secret precocious orphan lyra belacqua trades her carefree existence roaming the halls of jordan college for an otherworldly adventure in the far north unaware that its part of her destiny Adventure,Fantasy england compass experiment lordship uncle polar bear orphan animal based on young adult novel New Line Cinema, Ingenious Film Partners, Depth of Field, Scholastic Productions United Kingdom, United States of America Íslenska, English, Pусский, Français",2268,"Adventure,Fantasy"
King Kong,61.22601,6.6,2337,19.14822935606056,20.125428838008972,"in 1933 new york an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious skull island where they encounter kong a giant ape who is immediately smitten with the leading lady Adventure,Drama,Action film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur WingNut Films, Universal Pictures, Big Primate Pictures, MFPV Film New Zealand, United States of America, Germany English",254,"Adventure,Drama,Action"
Titanic,100.025899,7.5,7562,19.11382792951231,21.33576364489052,"84 years later a 101yearold woman named rose dewitt bukater tells the story to her granddaughter lizzy calvert brock lovett lewis bodine bobby buell and anatoly mikailavich on the keldysh about her life set in april 10th 1912 on a ship called titanic when young rose boards the departing ship with the upperclass passengers and her mother ruth dewitt bukater and her fianc caledon hockley meanwhile a drifter and artist named jack dawson and his best friend fabrizio de rossi win thirdclass tickets to the ship in a game and she explains the whole story from departure until the death of titanic on its first and last voyage april 15th 1912 at 220 in the morning Drama,Romance,Thriller shipwreck iceberg ship panic titanic ocean liner epic rich woman  poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s Paramount Pictures, Twentieth Century Fox Film Corporation, Lightstorm Entertainment United States of America English, Français, Deutsch, svenska, Italiano, Pусский",597,"Drama,Romance,Thriller"
Captain America: Civil War,198.372395,7.1,7241,19.33697147982652,20.865897133567135,"following the events of age of ultron the collective governments of the world pass an act designed to regulate all superhuman activity this polarizes opinion amongst the avengers causing two factions to side with iron man or captain america which causes an epic battle between former allies Adventure,Action,Science Fiction civil war war marvel comic sequel superhero based on comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d Studio Babelsberg, Marvel Studios, Walt Disney Studios Motion Pictures, Vita-Ray Dutch Productions (III), Deluxe Digital Studios United States of America Română, English, Deutsch, Pусский",271110,"Adventure,Action,Science Fiction"
Battleship,64.928382,5.5,2114,19.157844814713773,19.52932747214763,"when mankind beams a radio signal into space a reply comes from planet g in the form of several alien crafts that splash down in the waters off hawaii lieutenant alex hopper is a weapons officer assigned to the uss john paul jones part of an international naval coalition which becomes the worlds last hope for survival as they engage the hostile alien force of unimaginable strength while taking on the invaders hopper must also try to live up to the potential his brother and his fiances father admiral shane expect of him Thriller,Action,Adventure,Science Fiction fight us navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs of staff crash landing jet fighter pilot navy lieutenant permission to marry uss john paul jones based on board game aftercreditsstinger mighty mo uss missouri Universal Pictures, Hasbro, Bluegrass Films, Film 44 United States of America English, ภาษาไทย",44833,"Thriller,Action,Adventure,Science Fiction"
Jurassic World,418.708552,6.5,8662,18.826145858727198,21.137709722254115,"twentytwo years after the events of jurassic park isla nublar now features a fully functioning dinosaur theme park jurassic world as originally envisioned by john hammond Action,Adventure,Science Fiction,Thriller monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park 3d animal horror Universal Studios, Amblin Entertainment, Legendary Pictures, Fuji Television Network, Dentsu United States of America English",135397,"Action,Adventure,Science Fiction,Thriller"
Skyfall,93.004993,6.9,7604,19.11382792951231,20.826328627454465,"when bonds latest assignment goes gravely wrong and agents around the world are exposed mi6 is attacked forcing m to relocate the agency these events cause her authority and position to be challenged by gareth mallory the new chairman of the intelligence and security committee with mi6 now compromised from both inside and out m is left with one ally she can trust bond 007 takes to the shadows aided only by field agent eve following a trail to the mysterious silva whose lethal and hidden motives have yet to reveal themselves Action,Adventure,Thriller spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating a police officer macao Columbia Pictures United Kingdom, United States of America English",37724,"Action,Adventure,Thriller"
Spider-Man 2,35.149586,6.7,4321,19.11382792951231,20.47962150073071,"peter parker is going through a major identity crisis burned out from being spiderman he decides to shelve his superhero alter ego which leaves the city suffering in the wake of carnage left by the evil doc ock in the meantime parker still cant act on his feelings for mary jane watson a girl hes loved since childhood Action,Adventure,Fantasy dual identity love of ones life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain Columbia Pictures, Laura Ziskin Productions, Marvel Enterprises United States of America English, Pусский, 普通话",558,"Action,Adventure,Fantasy"
Iron Man 3,77.68208,6.8,8806,19.11382792951231,20.91837198398605,"when tony starks world is torn apart by a formidable terrorist called the mandarin he starts an odyssey of rebuilding and retribution Action,Adventure,Science Fiction terrorist war on terror tennessee malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe mandarin 3d war machine iron patriot extremis Marvel Studios China, United States of America English",68721,"Action,Adventure,Science Fiction"
Alice in Wonderland,78.530105,6.4,4645,19.11382792951231,20.748437467472296,"alice an unpretentious and individual 19yearold is betrothed to a dunce of an english nobleman at her engagement party she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit arriving in a strange and surreal place called underland she finds herself in a world that resembles the nightmares she had as a child filled with talking animals villainous queens and knights and frumious bandersnatches alice realizes that she is there for a reason to conquer the horrific jabberwocky and restore the rightful queen to her throne Family,Fantasy,Adventure based on novel fictional place queen fantasy alice in wonderland fantasy world 3d Walt Disney Pictures, Team Todd, Tim Burton Productions, Roth Films, Zanuck Company, The United States of America English",12155,"Family,Fantasy,Adventure"
X-Men: The Last Stand,3.857526,6.3,3525,19.162618093443648,19.94534380777439,"when a cure is found to treat mutations lines are drawn amongst the xmen and the brotherhood a band of powerful mutants organized under xaviers former ally magneto Adventure,Action,Science Fiction,Thriller mutant marvel comic based on comic book superhuman beast cyclops aftercreditsstinger Ingenious Film Partners, Twentieth Century Fox Film Corporation, Donners' Company, Dune Entertainment, Major Studio Partners, Bad Hat Harry Productions, thinkfilm, Marvel Enterprises, X3 Canada Productions, X3US Productions, XM3 Service Canada, United Kingdom, United States of America English",36668,"Adventure,Action,Science Fiction,Thriller"
Monsters University,89.186492,7.0,3528,19.11382792951231,20.426959492809576,"a look at the relationship between mike and sulley during their days at monsters university when they werent necessarily the best of friends Animation,Family monster dormitory games animation best friend university scary aftercreditsstinger Walt Disney Pictures, Pixar Animation Studios United States of America English",62211,"Animation,Family"
Transformers: Revenge of the Fallen,21.939663,6.0,3138,18.826145858727198,20.544494644941985,"sam witwicky leaves the autobots behind for a normal life but when his mind is filled with cryptic symbols the decepticons target him and he is dragged back into the transformers war Science Fiction,Action,Adventure egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger Paramount Pictures, DreamWorks SKG, Amblin Entertainment, Di Bonaventura Pictures, Platinum Dunes, Hasbro Studios, Revolution Sun Studios United States of America English, Español",8373,"Science Fiction,Action,Adventure"
Transformers: Age of Extinction,116.840296,5.8,3095,19.162618093443648,20.810731783770184,"as humanity picks up the pieces following the conclusion of transformers dark of the moon autobots and decepticons have all but vanished from the face of the planet however a group of powerful ingenious businessman and scientists attempt to learn from past transformer incursions and push the boundaries of technology beyond what they can control all while an ancient powerful transformer menace sets earth in his crosshairs Science Fiction,Action,Adventure sequel alien transformers giant robot robot imax transforming robot Paramount Pictures, Amblin Entertainment, Di Bonaventura Pictures, Platinum Dunes, China Movie Channel, Hasbro Studios, Ian Bryce Productions, Revolution Sun Studios United States of America English",91314,"Science Fiction,Action,Adventure"
Oz: The Great and Powerful,46.985445,5.7,3530,19.11382792951231,20.013722061929226,"oscar diggs a smalltime circus illusionist and conartist is whisked from kansas to the land of oz where the inhabitants assume hes the great wizard of prophecy there to save oz from the clutches of evil Fantasy,Adventure,Family circus witch magic hope illusion lost magic trick wizard 3d Walt Disney Pictures, Roth Films United States of America English",68728,"Fantasy,Adventure,Family"
The Amazing Spider-Man 2,89.270217,6.5,4179,19.11382792951231,20.374725478797583,"for peter parker life is busy between taking out the bad guys as spiderman and spending time with the person he loves gwen stacy high school graduation cannot come quickly enough peter has not forgotten about the promise he made to gwens father to protect her by staying away but that is a promise he cannot keep things will change for peter when a new villain electro emerges an old friend harry osborn returns and peter uncovers new clues about his past Action,Adventure,Fantasy obsession marvel comic sequel based on comic book electrocution medical experiment electricity super powers Columbia Pictures, Marvel Enterprises, Avi Arad Productions, Matt Tolmach Productions United States of America English",102382,"Action,Adventure,Fantasy"
TRON: Legacy,73.79505,6.3,2841,18.951309000896888,19.80713200276317,"sam flynn the techsavvy and daring son of kevin flynn investigates his fathers disappearance and is pulled into the grid with the help of a mysterious program named quorra sam quests to stop evil dictator clu from crossing into the real world Adventure,Action,Science Fiction artificial intelligence secret identity computer program dystopia computer deception duel motorcycle neon light autocracy Walt Disney Pictures, LivePlanet, Prana Studios, Sean Bailey Productions, Revolution Sun Studios, Kontsept Film Company United States of America English",20526,"Adventure,Action,Science Fiction"
Cars 2,49.98659,5.8,2033,19.11382792951231,20.14318373016529,"star race car lightning mcqueen and his pal mater head overseas to compete in the world grand prix race but the road to the championship becomes rocky as mater gets caught up in an intriguing adventure of his own international espionage Animation,Family,Adventure,Comedy car race sequel comedy anthropomorphism best friend duringcreditsstinger Walt Disney Pictures, Pixar Animation Studios United States of America English, 日本語, Italiano, Français",49013,"Animation,Family,Adventure,Comedy"
Green Lantern,51.872839,5.1,2487,19.11382792951231,19.208461389032852,"for centuries a small but powerful force of warriors called the green lantern corps has sworn to keep intergalactic order each green lantern wears a ring that grants him superpowers but when a new enemy called parallax threatens to destroy the balance of power in the universe their fate and the fate of earth lie in the hands of the first human ever recruited Adventure,Action,Thriller,Science Fiction dc comics transformation superhero alien alien infection magical object protector super powers origin 3d De Line Pictures, Warner Bros., DC Entertainment United States of America English",44912,"Adventure,Action,Thriller,Science Fiction"
Toy Story 3,59.995418,7.6,4597,19.11382792951231,20.78808841523593,"woody buzz and the rest of andys toys havent been played with in years with andy about to go to college the gang find themselves accidentally left at a nefarious day care center the toys must band together to escape and return home to andy Animation,Family,Comedy hostage college toy barbie animation escape day care teddy bear duringcreditsstinger toy comes to life personification inanimate objects coming to life toy story Walt Disney Pictures, Pixar Animation Studios United States of America English, Español",10193,"Animation,Family,Comedy"
Terminator Salvation,71.862892,5.9,2463,19.11382792951231,19.732663656064677,"all grown up in postapocalyptic 2018 john connor must lead the resistance of humans against the increasingly dominating militaristic robots but when marcus wright appears his existence confuses the mission as connor tries to determine whether wright has come from the future or the past and whether hes friend or foe Action,Science Fiction,Thriller saving the world artificial intelligence prophecy san francisco cyborg killer robot gas station postapocalyptic dystopia army firearm wartime los angeles Columbia Pictures, The Halcyon Company, Wonderland Sound and Vision, Warner Bros. Germany, Italy, United Kingdom, United States of America English, Italiano",534,"Action,Science Fiction,Thriller"
Furious 7,102.322217,7.3,4176,19.06253463538792,21.132888530970785,"deckard shaw seeks revenge against dominic toretto and his family for his comatose brother Action car race speed revenge suspense car race muscle car Universal Pictures, Original Film, Fuji Television Network, Dentsu, One Race Films, China Film Co., Québec Production Services Tax Credit, Media Rights Capital (MRC), Abu Dhabi Film Commission, Colorado Office of Film, Television & Media Japan, United States of America English",168259,Action
World War Z,81.834855,6.7,5560,19.11382792951231,20.091900257585234,"life for former united nations investigator gerry lane and his family seems content suddenly the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies after barely escaping the chaos lane is persuaded to go on a mission to investigate this disease what follows is a perilous trek around the world where lane must brave horrific dangers and long odds to find answers before human civilization falls Action,Drama,Horror,Science Fiction,Thriller dystopia apocalypse zombie nuclear weapons multiple perspectives zombie apocalypse Paramount Pictures, GK Films, Skydance Productions, Hemisphere Media Capital, Apparatus Productions, Latina Pictures, 2DUX² United States of America, Malta English",72190,"Action,Drama,Horror,Science Fiction,Thriller"
X-Men: Days of Future Past,118.078691,7.5,6032,19.33697147982652,20.432730064563454,"the ultimate xmen ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past to save our future Action,Adventure,Fantasy,Science Fiction 1970s mutant time travel marvel comic based on comic book superhuman storm beast aftercreditsstinger changing the past or future Twentieth Century Fox Film Corporation, Donners' Company, Marvel Entertainment, Bad Hat Harry Productions, TSG Entertainment, Down Productions, Revolution Sun Studios United Kingdom, United States of America English",127585,"Action,Adventure,Fantasy,Science Fiction"
Star Trek Into Darkness,78.291018,7.4,4418,19.06253463538792,19.96262162343216,"when the crew of the enterprise is called back home they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for leaving our world in a state of crisis with a personal score to settle captain kirk leads a manhunt to a warzone world to capture a one man weapon of mass destruction as our heroes are propelled into an epic chess game of life and death love will be challenged friendships will be torn apart and sacrifices must be made for the only family kirk has left his crew Action,Adventure,Science Fiction spacecraft friendship sequel futuristic space alien imax space opera terrorist bombing 3d Paramount Pictures, Skydance Productions, Bad Robot, Kurtzman/Orci United States of America English",54138,"Action,Adventure,Science Fiction"
Jack the Giant Slayer,43.349855,5.5,2598,19.088510121656228,19.102198585112838,"the story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants unleashed on the earth for the first time in centuries the giants strive to reclaim the land they once lost forcing the young man jack into the battle of his life to stop them fighting for a kingdom its people and the love of a brave princess he comes face to face with the unstoppable warriors he thought only existed in legendand gets the chance to become a legend himself Action,Family,Fantasy based on fairy tale giant New Line Cinema, Original Film, Legendary Pictures, Warner Bros., Big Kid Pictures, Bad Hat Harry Productions United States of America English",81005,"Action,Family,Fantasy"
The Great Gatsby,61.196071,7.3,3769,18.46947091764561,19.676411931495274,"an adaptation of f scott fitzgeralds long islandset novel where midwesterner nick carraway is lured into the lavish world of his neighbor jay gatsby soon enough however carraway will see through the cracks of gatsbys nouveau riche existence where obsession madness and tragedy await Drama,Romance based on novel infidelity obsession hope 3d Village Roadshow Pictures, Bazmark Films, Warner Bros., A&E Television Networks, Red Wagon Entertainment, Spectrum Films United States of America, Australia English",64682,"Drama,Romance"
Prince of Persia: The Sands of Time,62.169881,6.2,2317,18.826145858727198,19.630102607154413,"a rogue prince reluctantly joins forces with a mysterious princess and together they race against dark forces to safeguard an ancient dagger capable of releasing the sands of time gift from the gods that can reverse time and allow its possessor to rule the world Adventure,Fantasy,Action,Romance persia sandstorm brother against brother armageddon regent based on video game Walt Disney Pictures, Jerry Bruckheimer Films United States of America English",9543,"Adventure,Fantasy,Action,Romance"
Pacific Rim,56.523205,6.7,4794,19.00846741441004,19.82580399127956,"when legions of monstrous creatures known as kaiju started rising from the sea a war began that would take millions of lives and consume humanitys resources for years on end to combat the giant kaiju a special type of weapon was devised massive robots called jaegers which are controlled simultaneously by two pilots whose minds are locked in a neural bridge but even the jaegers are proving nearly defenseless in the face of the relentless kaiju on the verge of defeat the forces defending mankind have no choice but to turn to two unlikely heroesa washedup former pilot charlie hunnam and an untested trainee rinko kikuchiwho are teamed to drive a legendary but seemingly obsolete jaeger from the past together they stand as mankinds last hope against the mounting apocalypse Action,Science Fiction,Adventure dystopia giant robot giant monster apocalypse imax duringcreditsstinger 3d Legendary Pictures, Warner Bros., Disney Double Dare You (DDY), Indochina Productions United States of America, Canada English",68726,"Action,Science Fiction,Adventure"
